"Story","Title","Result","Date","Stability","Duration (s)"
"Ejecutar servicio de consulta Rest","Consultar photos por id","FAILURE","2020-06-15T21:15:49.117-05:00[America/Bogota]","0.0","8.23"
"Realizar compra","Realizar compra","FAILURE","2020-06-15T21:16:03.874-05:00[America/Bogota]","0.0","67.39"
